Court,Judge,PreCount,PostCount,Ratio
02-1-01,Adam J. Witkonis,614,200,33
02-1-02,David P. Miller,268,79,29
02-1-03,Miles K. Bixler,393,95,24
02-2-01,Jodie E. Richardson,357,83,23
02-2-02,Bruce A. Roth,205,65,32
02-2-03,Mary Mongiovi Sponaugle,485,111,23
02-2-04,Andrew T. LeFever,358,95,27
02-2-05,Brian E. Chudzik,227,94,41
02-2-06,Joshua R. Keller,297,50,17
02-2-07,Tony S. Russell,222,65,29
02-2-08,Edward A. Tobin,232,53,23
02-3-01,Scott E. Albert,320,92,29
02-3-02,B. Denise Commins,296,104,35
02-3-03,William E. Benner Jr.,68,24,35
02-3-04,Stuart J. Mylin,185,78,42
02-3-05,Raymond S. Sheller,174,67,39
02-3-06,Jonathan W. Heisse,144,44,31
02-3-07,Nancy G. Hamill,65,20,31
02-3-09,Randall L. Miller,297,72,24
