A[edit]			
Aaronsburg - Centre County	Allport - Clearfield County	Arnot - Tioga County	
Aaronsburg - Washington County	Almedia - Columbia County	Aspers - Adams County	
Ackermanville - Northampton County	Alsace Manor - Berks County	Atkinson Mills - Mifflin County	
Adamsville - Crawford County	Altamont - Schuylkill County	Atlantic - Crawford County	
Albrightsville - Carbon County	Amity Gardens - Berks County	Atlas - Northumberland County	
Alfarata - Mifflin County	Ancient Oaks - Lehigh County	Atlasburg - Washington County	
Alleghenyville - Berks County	Annville - Lebanon County	Audubon - Montgomery County	
Allenport - Huntingdon County	Arcadia University - Montgomery County	Avella - Washington County	
Allensville - Mifflin County	Ardmore - Delaware & Montgomery Counties	Avon - Lebanon County	
Allenwood - Union County	Aristes - Columbia County	Avonia - Erie County	
Allison - Fayette County	Arlington Heights - Monroe County		
Allison Park - Allegheny County	Arnold City - Fayette County		
			
B[edit]			
Baidland - Washington County	Berwyn - Chester County	Boalsburg - Centre County	Brittany Farms-The Highlands - Bucks County
Baileyville - Centre County	Bethel - Berks County	Bobtown - Greene County	Brodheadsville - Monroe County
Bainbridge - Lancaster County	Beurys Lake - Schuylkill County	Boiling Springs - Cumberland County	Broomall - Delaware County
Bairdford - Allegheny County	Big Bass Lake - Lackawanna & Wayne Counties	Boothwyn - Delaware County	Brownstown - Lancaster County
Bakerstown - Allegheny County	Bigler - Clearfield County	Boston - Allegheny County	Browntown - Luzerne County
Barrville - Mifflin County	Birchwood Lakes - Pike County	Bowers - Berks County	Bryn Mawr - Montgomery County
Baumstown - Berks County	Bird-in Hand - Lancaster County	Bowmansville - Lancaster County	Buckhorn - Columbia County
Bear Rocks - Fayette County	Black Lick - Indiana County	Bradenville - Westmoreland County	Buck Run - Schuylkill County
Beaverdale - Cambria County	Blanchard - Centre County	Branchdale - Schuylkill County	Buffington - Fayette County
Beaver Springs - Snyder County	Blandburg - Cambria County	Brandonville - Schuylkill County	Bulger - Washington County
Beech Mountain Lakes - Luzerne County	Blandon - Berks County	Brave - Greene County	Byrnedale - Elk County
Belfast - Northampton County	Blue Ball - Lancaster County	Breinigsville - Lehigh County	
Belleville - Mifflin County	Blue Bell - Montgomery County	Bressler - Dauphin County	
Belmont - Cambria County	Blue Ridge Summit - Franklin County	Brickerville - Lancaster County	
			
C[edit]			
