date,value
2018-12-01,1
2019-01-01,8654
2019-02-01,7608
2019-03-01,6841
2019-04-01,7131
2019-05-01,7811
2019-06-01,8249
2019-07-01,9305
2019-08-01,8979
2019-09-01,8658
2019-10-01,8613
2019-11-01,7393
2019-12-01,7635
2020-01-01,8976
2020-02-01,7884
2020-03-01,3745
2020-04-01,166
2020-05-01,204
2020-06-01,1007
2020-07-01,1022
2020-08-01,1273
2020-09-01,8936
2020-10-01,5571
2020-11-01,4681
2020-12-01,4523
2021-01-01,4552
2021-02-01,4103
2021-03-01,4924
2021-04-01,3628
2021-05-01,3794
2021-06-01,4745
2021-07-01,4961
2021-08-01,5237
2021-09-01,5647
2021-10-01,5942
2021-11-01,6116
2021-12-01,6064
2022-01-01,6953
2022-02-01,6815
2022-03-01,7013
2022-04-01,6605
2022-05-01,7554
2022-06-01,8146
2022-07-01,8230
2022-08-01,9431
2022-09-01,8850
2022-10-01,8115
2022-11-01,7738
2022-12-01,8008
2023-01-01,8757
2023-02-01,8066
2023-03-01,7651
2023-04-01,7187
2023-05-01,8544
2023-06-01,8848
2023-07-01,9034
2023-08-01,9303
2023-09-01,1949
